TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;
4785556;1;-16.503077908045;20.6042466217086;28.7409284959789;0.155413840174145;-0.211015027586466;-0.811955794380443;0.521581234696027;
4785666;1;-16.2441368682317;20.5131463319829;28.7889749266593;0.160624155088787;-0.228967036039406;-0.828110581039458;0.485805354828284;
4785774;1;-15.9713790645304;20.4109743975171;28.8231109182356;0.179682452937323;-0.272460450702042;-0.829266932935148;0.453647300058095;
4785885;1;-15.7681068816476;20.3240952049867;28.8497625932504;0.19863008918802;-0.316951506721323;-0.821084843895552;0.431169930748029;
4785992;1;-15.6949222945225;20.2746688156421;28.8189308797392;0.210278968784393;-0.352234222129185;-0.80597914741594;0.426745148746526;
4786103;1;-15.6941137164333;20.2784657443708;28.8060452985215;0.220767757450364;-0.37131198424953;-0.791934904591518;0.431541555951031;
4786203;1;-15.8415009428953;20.3746525011404;28.7864923004112;0.224157847784909;-0.359917319692631;-0.783388339111962;0.454439756629095;
4786322;1;-16.0894148321893;20.5144980134799;28.7458089253863;0.224270190363527;-0.332304298563234;-0.775003227104856;0.488514823570138;
4786431;1;-16.3399717407794;20.6132223320686;28.6730951455604;0.225343683183184;-0.318939991245191;-0.757563983013598;0.523062441850423;
4786540;1;-16.5399348348486;20.7011727687145;28.6664022401119;0.22571843368068;-0.296545626659022;-0.748973644475217;0.547859799481273;
4786649;1;-16.9895919665397;20.8361925995825;28.6350877589361;0.220677358574914;-0.251508881673061;-0.726527973903673;0.600168217241958;
4786744;1;-17.416834633406;20.8861387371372;28.5644861903974;0.210982429998063;-0.220342670503638;-0.697953693017815;0.647916788013886;
4786868;1;-17.7220175936371;20.8754123446786;28.4799379910781;0.198476805076494;-0.204454947199629;-0.674606890547605;0.680963050126742;
4786977;1;-18.0399314850935;20.816722850438;28.359790978869;0.179455547475459;-0.193574687383088;-0.648216486538411;0.714240809156563;
4787086;1;-18.3440869061275;20.7713860204157;28.3077537675163;0.175253910139683;-0.181498939776974;-0.617307715499674;0.745168025498384;
4787195;1;-18.7441679339905;20.6737460374407;28.2589147698742;0.169346953770613;-0.16238458860566;-0.575124667822527;0.783699222338527;
4787297;1;-19.0457170568939;20.5795512429205;28.290122974281;0.162738792542335;-0.135912151425144;-0.545244479308405;0.81101937725344;
4787413;1;-19.4386659161018;20.3983286522426;28.2605804291791;0.174553256246594;-0.123152187254294;-0.488024581305822;0.846284058428062;
4787522;1;-19.7150491613578;20.2078697760829;28.1925959742965;0.184901837037398;-0.125518065108908;-0.438407045294723;0.870549130507556;
4787633;1;-19.9372882170712;20.0547572769381;28.2332222972009;0.20300790592568;-0.112518988855873;-0.398697324596677;0.887224723865366;
4787742;1;-20.1299696111059;19.9178831151649;28.325875531622;0.21922736191887;-0.0889458123409067;-0.366863339591696;0.899688444027563;
4787850;1;-20.4067340322623;19.6465952742917;28.4002376582888;0.254753482406754;-0.07112506527515;-0.304088245443137;0.915189722010989;
4787959;1;-20.5358312298489;19.4873042626075;28.423668865869;0.266906302057066;-0.0637879548171066;-0.271916869283569;0.922362910649326;
4788067;1;-20.6805209150396;19.2946731855832;28.4743362920461;0.275720364621265;-0.047296913076519;-0.237977145992387;0.93011190753149;
4788177;1;-20.8608929173666;19.0126494803485;28.5835164950451;0.292585960641564;-0.0202310156220824;-0.190070792431349;0.936940369237483;
4788286;1;-20.8583308850152;19.0117634499154;28.5845712051498;0.306944826475343;-0.0226406005095176;-0.18265886058163;0.933760149802727;
4788395;1;-20.8883097969603;18.9568901752843;28.5919820573685;0.305766349258622;-0.0196238142430036;-0.174423238083453;0.935787571830324;
4788505;1;-20.90123984842;18.9383475640883;28.6294508056298;0.314974228816434;-0.0141882714758868;-0.16955931267232;0.933723496341454;
4788614;1;-20.9079226226651;18.9345865827171;28.677888231093;0.334644135234015;-0.0105808915652869;-0.163175966898729;0.928049002646857;
4788724;1;-20.8951875602703;18.951012642454;28.662294322431;0.340876323916596;-0.0154131491339518;-0.161851806240232;0.925942632911811;
4788833;1;-20.8897336300073;18.9638658727317;28.6639193920204;0.34140723103316;-0.0152966418273841;-0.1635653656799;0.925447722184822;
4788942;1;-20.8754749819274;18.9891518518739;28.6601087798666;0.340747944019421;-0.0168273023869298;-0.167992566042767;0.924870898177299;
4789051;1;-20.8637705269321;19.0083665881578;28.620704453908;0.331920928529317;-0.022320573245116;-0.172416923700352;0.927147611567841;
4789161;1;-20.8067145296599;19.1006249361684;28.5440523562992;0.324005002225667;-0.035801518914085;-0.184849284223141;0.927129846298987;
4789270;1;-20.6777698677512;19.3006819317482;28.4849993854541;0.321733917541929;-0.0539200253418693;-0.214357500494193;0.92066865872155;
4789379;1;-20.5659572374835;19.4587787496135;28.460454616173;0.330887585823746;-0.0683626375041682;-0.234353415121006;0.911547273684875;
